symbol,hist_total_trades,hist_win_rate,hist_avg_pnl,hist_avg_score,hist_strength_score
GNTX,693,0.7706,0.0457,0.8142,4.2925
OSK,700,0.7729,0.0459,0.8104,4.2921
CSCO,636,0.7862,0.0439,0.8097,4.2908
JLL,502,0.8028,0.0459,0.8214,4.2902
BAX,744,0.7796,0.0297,0.8079,4.2891
UTHR,535,0.8000,0.0467,0.8150,4.2888
EME,584,0.7911,0.0395,0.8178,4.2849
MBG.DE,542,0.8026,0.0410,0.8143,4.2843
IAG.L,485,0.8082,0.0496,0.8163,4.2839
BDX,681,0.7885,0.0268,0.8108,4.2836
CAG,663,0.7934,0.0281,0.8081,4.2830
CGNX,785,0.7503,0.0499,0.8153,4.2818
KNX,638,0.7790,0.0440,0.8150,4.2816
OPCH,619,0.7561,0.0777,0.8173,4.2816
CFR.SW,555,0.8018,0.0374,0.8142,4.2810
SLB,827,0.7618,0.0374,0.8061,4.2802
GL,576,0.8073,0.0322,0.8076,4.2784
ORI,551,0.8076,0.0355,0.8103,4.2781
JNPR,490,0.8000,0.0571,0.8162,4.2772
SCI,704,0.7741,0.0377,0.8119,4.2772
ERF.PA,562,0.7883,0.0452,0.8195,4.2760
PPL,628,0.7978,0.0259,0.8107,4.2757
GTLS,407,0.8133,0.0663,0.8201,4.2755
IDXX,672,0.7827,0.0395,0.8069,4.2752
EMR,833,0.7623,0.0275,0.8115,4.2750
FHN,620,0.7887,0.0350,0.8140,4.2732
VFC,723,0.7746,0.0339,0.8104,4.2731
CHH,497,0.8129,0.0378,0.8151,4.2707
AMT,463,0.8099,0.0522,0.8160,4.2695
CTAS,762,0.7769,0.0273,0.8058,4.2686
MIDD,649,0.7704,0.0468,0.8169,4.2671
TRGP,303,0.8581,0.0583,0.8218,4.2663
DTE,792,0.7740,0.0234,0.8068,4.2661
TAP,739,0.7700,0.0319,0.8127,4.2659
VTR,485,0.8144,0.0404,0.8137,4.2652
BMW.DE,549,0.7978,0.0406,0.8138,4.2631
SXS.L,477,0.8218,0.0354,0.8119,4.2626
STZ,606,0.7888,0.0368,0.8130,4.2608
SAM,570,0.7930,0.0387,0.8149,4.2604
VNO,623,0.7897,0.0318,0.8123,4.2600
